r (m)	Te (eV)	Ti (eV)	ne (m^-3)	ni (m^-3)	nCI (m^-3)	nCII (m^-3)	nCIII (m^-3)	nCIV (m^-3)	nCV (m^-3)	nCVI (m^-3)	nCVII (m^-3)	n0 (m^-3)	pi (kPa)	p (kPa)
0.091	650.78	246.44	1.972040000E+19	1.579647374E+19	4.690260000E-03	1.623622094E+11	1.589843588E+12	3.177289645E+13	4.008095860E+15	3.430451049E+16	1.581000279E+17	1.521720000E+15	623.6999484698	4.182150000E+00
0.092	650.58	246.39	1.971450000E+19	1.579276063E+19	4.750422000E-03	1.627295231E+11	1.591895068E+12	3.187143117E+13	4.010168708E+15	3.430691789E+16	1.580374876E+17	1.525280000E+15	623.4326354165	4.176760000E+00
0.093	650.37	246.34	1.970850000E+19	1.578900978E+19	4.810784000E-03	1.630980881E+11	1.593954033E+12	3.197051255E+13	4.012286607E+15	3.430931061E+16	1.579744549E+17	1.528870000E+15	623.1620338386	4.171310000E+00
0.094	650.17	246.29	1.970250000E+19	1.578522122E+19	4.871349000E-03	1.634679101E+11	1.596020519E+12	3.207014428E+13	4.014450410E+15	3.431168882E+16	1.579109264E+17	1.532480000E+15	622.8881476465	4.165820000E+00
0.095	649.96	246.24	1.969640000E+19	1.578139500E+19	4.932117000E-03	1.638389949E+11	1.598094565E+12	3.217033007E+13	4.016660982E+15	3.431405283E+16	1.578468987E+17	1.536130000E+15	622.6109815705	4.160270000E+00
0.096	649.75	246.19	1.969030000E+19	1.577753114E+19	4.993088000E-03	1.642113482E+11	1.600176205E+12	3.227107367E+13	4.018919201E+15	3.431640307E+16	1.577823682E+17	1.539810000E+15	622.3305391875	4.154680000E+00
0.097	649.53	246.14	1.968410000E+19	1.577362969E+19	5.054265000E-03	1.645849758E+11	1.602265479E+12	3.237237885E+13	4.021225958E+15	3.431874009E+16	1.577173316E+17	1.543530000E+15	622.0468252889	4.149030000E+00
0.098	649.32	246.09	1.967780000E+19	1.576969068E+19	5.115647000E-03	1.649598836E+11	1.604362424E+12	3.247424943E+13	4.023582159E+15	3.432106458E+16	1.576517854E+17	1.547270000E+15	621.7598439076	4.143330000E+00
0.099	649.10	246.03	1.967150000E+19	1.576571415E+19	5.177236000E-03	1.653360774E+11	1.606467077E+12	3.257668923E+13	4.025988723E+15	3.432337732E+16	1.575857260E+17	1.551050000E+15	621.4695995013	4.137590000E+00
0.100	648.88	245.98	1.966520000E+19	1.576170012E+19	5.239033000E-03	1.657135631E+11	1.608579477E+12	3.267970213E+13	4.028446583E+15	3.432567924E+16	1.575191500E+17	1.554850000E+15	621.1760957696	4.131790000E+00
0.101	648.66	245.93	1.965870000E+19	1.575764864E+19	5.301039000E-03	1.660923467E+11	1.610699662E+12	3.278329202E+13	4.030956684E+15	3.432797135E+16	1.574520539E+17	1.558700000E+15	620.8793376253	4.125950000E+00
0.102	648.44	245.87	1.965230000E+19	1.575355975E+19	5.363254000E-03	1.664724342E+11	1.612827670E+12	3.288746283E+13	4.033519987E+15	3.433025479E+16	1.573844340E+17	1.562570000E+15	620.5793296171	4.120060000E+00
0.103	648.21	245.82	1.964570000E+19	1.574943347E+19	5.425679000E-03	1.668538315E+11	1.614963541E+12	3.299221852E+13	4.036137468E+15	3.433253080E+16	1.573162868E+17	1.566480000E+15	620.2760755360	4.114110000E+00
0.104	647.98	245.76	1.963920000E+19	1.574526984E+19	5.488316000E-03	1.672365447E+11	1.617107313E+12	3.309756308E+13	4.038810115E+15	3.433480071E+16	1.572476088E+17	1.570420000E+15	619.9695799912	4.108120000E+00
0.105	647.75	245.70	1.963250000E+19	1.574106889E+19	5.551165000E-03	1.676205799E+11	1.619259025E+12	3.320350054E+13	4.041538932E+15	3.433706595E+16	1.571783963E+17	1.574390000E+15	619.6598472283	4.102090000E+00
0.106	647.52	245.64	1.962590000E+19	1.573683067E+19	5.614228000E-03	1.680059432E+11	1.621418718E+12	3.331003496E+13	4.044324937E+15	3.433932807E+16	1.571086458E+17	1.578400000E+15	619.3468823103	4.096000000E+00
0.107	647.29	245.59	1.961910000E+19	1.573255520E+19	5.677505000E-03	1.683926408E+11	1.623586430E+12	3.341717042E+13	4.047169164E+15	3.434158867E+16	1.570383536E+17	1.582450000E+15	619.0306891493	4.089870000E+00
0.108	647.05	245.53	1.961230000E+19	1.572824253E+19	5.740997000E-03	1.687806787E+11	1.625762203E+12	3.352491104E+13	4.050072659E+15	3.434384948E+16	1.569675161E+17	1.586530000E+15	618.7112728681	4.083690000E+00
0.109	646.81	245.47	1.960550000E+19	1.572389267E+19	5.804706000E-03	1.691700633E+11	1.627946075E+12	3.363326097E+13	4.053036485E+15	3.434611230E+16	1.568961297E+17	1.590640000E+15	618.3886370455	4.077460000E+00
0.110	646.57	245.40	1.959860000E+19	1.571950567E+19	5.868632000E-03	1.695608008E+11	1.630138089E+12	3.374222442E+13	4.056061722E+15	3.434837899E+16	1.568241907E+17	1.594790000E+15	618.0627868641	4.071180000E+00
0.111	646.33	245.34	1.959160000E+19	1.571508157E+19	5.932776000E-03	1.699528975E+11	1.632338284E+12	3.385180559E+13	4.059149461E+15	3.435065152E+16	1.567516954E+17	1.598980000E+15	617.7337271425	4.064860000E+00
0.112	646.08	245.28	1.958460000E+19	1.571062039E+19	5.997139000E-03	1.703463598E+11	1.634546701E+12	3.396200875E+13	4.062300811E+15	3.435293192E+16	1.566786401E+17	1.603200000E+15	617.4014619429	4.058500000E+00
0.113	645.84	245.22	1.957750000E+19	1.570612216E+19	6.061723000E-03	1.707411939E+11	1.636763383E+12	3.407283818E+13	4.065516897E+15	3.435522230E+16	1.566050211E+17	1.607450000E+15	617.0659957508	4.052080000E+00
0.114	645.59	245.15	1.957040000E+19	1.570158693E+19	6.126527000E-03	1.711374063E+11	1.638988370E+12	3.418429821E+13	4.068798859E+15	3.435752485E+16	1.565308347E+17	1.611750000E+15	616.7273338668	4.045620000E+00
0.115	645.34	245.09	1.956320000E+19	1.569701472E+19	6.191554000E-03	1.715350034E+11	1.641221704E+12	3.429639321E+13	4.072147852E+15	3.435984180E+16	1.564560772E+17	1.616080000E+15	616.3854804426	4.039120000E+00
0.116	645.08	245.02	1.955600000E+19	1.569240556E+19	6.256805000E-03	1.719339918E+11	1.643463428E+12	3.440912755E+13	4.075565047E+15	3.436217547E+16	1.563807448E+17	1.620450000E+15	616.0404400526	4.032570000E+00
0.117	644.83	244.96	1.954870000E+19	1.568775950E+19	6.322279000E-03	1.723343779E+11	1.645713583E+12	3.452250569E+13	4.079051633E+15	3.436452823E+16	1.563048337E+17	1.624850000E+15	615.6922180857	4.025980000E+00
0.118	644.57	244.89	1.954140000E+19	1.568307655E+19	6.387979000E-03	1.727361683E+11	1.647972213E+12	3.463653208E+13	4.082608813E+15	3.436690251E+16	1.562283401E+17	1.629300000E+15	615.3408183902	4.019340000E+00
0.119	644.31	244.82	1.953400000E+19	1.567835675E+19	6.453906000E-03	1.731393695E+11	1.650239360E+12	3.475121123E+13	4.086237808E+15	3.436930081E+16	1.561512603E+17	1.633780000E+15	614.9862460215	4.012660000E+00
0.120	644.05	244.76	1.952650000E+19	1.567360014E+19	6.520060000E-03	1.735439883E+11	1.652515067E+12	3.486654768E+13	4.089939854E+15	3.437172566E+16	1.560735905E+17	1.638300000E+15	614.6285060640	4.005930000E+00
0.121	643.79	244.69	1.951900000E+19	1.566880674E+19	6.586442000E-03	1.739500313E+11	1.654799378E+12	3.498254600E+13	4.093716205E+15	3.437417965E+16	1.559953269E+17	1.642860000E+15	614.2676028471	3.999160000E+00
0.122	643.52	244.62	1.951150000E+19	1.566397658E+19	6.653054000E-03	1.743575051E+11	1.657092337E+12	3.509921082E+13	4.097568131E+15	3.437666544E+16	1.559164655E+17	1.647460000E+15	613.9035411218	3.992350000E+00
0.123	643.25	244.55	1.950390000E+19	1.565910970E+19	6.719896000E-03	1.747664167E+11	1.659393988E+12	3.521654677E+13	4.101496917E+15	3.437918570E+16	1.558370026E+17	1.652090000E+15	613.5363260605	3.985500000E+00
0.124	642.98	244.48	1.949620000E+19	1.565420612E+19	6.786970000E-03	1.751767726E+11	1.661704375E+12	3.533455857E+13	4.105503870E+15	3.438174317E+16	1.557569344E+17	1.656770000E+15	613.1659620806	3.978600000E+00
0.125	642.71	244.40	1.948850000E+19	1.564926588E+19	6.854277000E-03	1.755885798E+11	1.664023542E+12	3.545325092E+13	4.109590308E+15	3.438434062E+16	1.556762568E+17	1.661490000E+15	612.7924544127	3.971660000E+00
0.126	642.44	244.33	1.948070000E+19	1.564428900E+19	6.921817000E-03	1.760018452E+11	1.666351534E+12	3.557262861E+13	4.113757571E+15	3.438698086E+16	1.555949662E+17	1.666250000E+15	612.4158075329	3.964680000E+00
0.127	642.16	244.26	1.947290000E+19	1.563927552E+19	6.989593000E-03	1.764165756E+11	1.668688398E+12	3.569269643E+13	4.118007015E+15	3.438966674E+16	1.555130584E+17	1.671050000E+15	612.0360267296	3.957650000E+00
0.128	641.88	244.18	1.946500000E+19	1.563422546E+19	7.057604000E-03	1.768327781E+11	1.671034177E+12	3.581345924E+13	4.122340011E+15	3.439240113E+16	1.554305298E+17	1.675890000E+15	611.6531165373	3.950590000E+00
0.129	641.60	244.11	1.945710000E+19	1.562913886E+19	7.125853000E-03	1.772504595E+11	1.673388917E+12	3.593492192E+13	4.126757951E+15	3.439518695E+16	1.553473763E+17	1.680770000E+15	611.2670823023	3.943480000E+00
0.130	641.32	244.03	1.944910000E+19	1.562401573E+19	7.194339000E-03	1.776696270E+11	1.675752666E+12	3.605708940E+13	4.131262244E+15	3.439802713E+16	1.552635939E+17	1.685690000E+15	610.8779282261	3.936330000E+00
0.131	641.03	243.96	1.944100000E+19	1.561885611E+19	7.263065000E-03	1.780902876E+11	1.678125469E+12	3.617996664E+13	4.135854314E+15	3.440092464E+16	1.551791789E+17	1.690660000E+15	610.4856597128	3.929140000E+00
0.132	640.75	243.88	1.943290000E+19	1.561366003E+19	7.332032000E-03	1.785124485E+11	1.680507372E+12	3.630355866E+13	4.140535608E+15	3.440388248E+16	1.550941272E+17	1.695670000E+15	610.0902818041	3.921910000E+00
0.133	640.46	243.80	1.942480000E+19	1.560842752E+19	7.401240000E-03	1.789361167E+11	1.682898423E+12	3.642787050E+13	4.145307586E+15	3.440690364E+16	1.550084348E+17	1.700720000E+15	609.6917995703	3.914650000E+00
0.134	640.17	243.73	1.941660000E+19	1.560315860E+19	7.470690000E-03	1.793612996E+11	1.685298669E+12	3.655290726E+13	4.150171729E+15	3.440999118E+16	1.549220977E+17	1.705810000E+15	609.2902177199	3.907340000E+00
0.135	639.87	243.65	1.940830000E+19	1.559785329E+19	7.540384000E-03	1.797880044E+11	1.687708158E+12	3.667867407E+13	4.155129537E+15	3.441314812E+16	1.548351121E+17	1.710950000E+15	608.8855409906	3.899990000E+00
0.136	639.58	243.57	1.940000000E+19	1.559251163E+19	7.610324000E-03	1.802162383E+11	1.690126937E+12	3.680517610E+13	4.160182526E+15	3.441637754E+16	1.547474738E+17	1.716130000E+15	608.4777749298	3.892610000E+00
0.137	639.28	243.49	1.939160000E+19	1.558713365E+19	7.680509000E-03	1.806460087E+11	1.692555054E+12	3.693241858E+13	4.165332232E+15	3.441968252E+16	1.546591789E+17	1.721360000E+15	608.0669247225	3.885180000E+00
0.138	638.98	243.41	1.938320000E+19	1.558171936E+19	7.750942000E-03	1.810773230E+11	1.694992559E+12	3.706040677E+13	4.170580209E+15	3.442306615E+16	1.545702234E+17	1.726630000E+15	607.6529948024	3.877720000E+00
0.139	638.68	243.32	1.937470000E+19	1.557626880E+19	7.821623000E-03	1.815101886E+11	1.697439499E+12	3.718914597E+13	4.175928031E+15	3.442653152E+16	1.544806032E+17	1.731950000E+15	607.2359908021	3.870220000E+00
0.140	638.38	243.24	1.936620000E+19	1.557078199E+19	7.892553000E-03	1.819446129E+11	1.699895924E+12	3.731864155E+13	4.181377290E+15	3.443008174E+16	1.543903143E+17	1.737310000E+15	606.8159176026	3.862680000E+00
0.141	638.07	243.16	1.935760000E+19	1.556525896E+19	7.963735000E-03	1.823806036E+11	1.702361883E+12	3.744889888E+13	4.186929596E+15	3.443371992E+16	1.542993526E+17	1.742720000E+15	606.3927805034	3.855100000E+00
0.142	637.76	243.07	1.934900000E+19	1.555969973E+19	8.035168000E-03	1.828181681E+11	1.704837427E+12	3.757992342E+13	4.192586580E+15	3.443744918E+16	1.542077142E+17	1.748170000E+15	605.9665844426	3.847490000E+00
0.143	637.45	242.99	1.934030000E+19	1.555410433E+19	8.106855000E-03	1.832573141E+11	1.707322605E+12	3.771172065E+13	4.198349891E+15	3.444127262E+16	1.541153949E+17	1.753670000E+15	605.5373347765	3.839840000E+00
0.144	637.14	242.90	1.933150000E+19	1.554847277E+19	8.178795000E-03	1.836980492E+11	1.709817467E+12	3.784429611E+13	4.204221198E+15	3.444519337E+16	1.540223906E+17	1.759220000E+15	605.1050361111	3.832150000E+00
0.145	636.83	242.82	1.932270000E+19	1.554280510E+19	8.250992000E-03	1.841403812E+11	1.712322065E+12	3.797765536E+13	4.210202189E+15	3.444921454E+16	1.539286973E+17	1.764810000E+15	604.6696946377	3.824430000E+00
