r (m)	Te (eV)	Ti (eV)	ne (m^-3)	ni (m^-3)	nCI (m^-3)	nCII (m^-3)	nCIII (m^-3)	nCIV (m^-3)	nCV (m^-3)	nCVI (m^-3)	nCVII (m^-3)	n0 (m^-3)	pi (kPa)	p (kPa)
0.222	606.52	234.04	1.848170000E+19	1.499965043E+19	1.468553600E-02	2.236874986E+11	1.939029929E+12	5.112785772E+13	5.166068787E+15	3.526566131E+16	1.443184772E+17	2.374610000E+15	562.4562341074	3.147690000E+00
0.223	606.05	233.90	1.846870000E+19	1.499123267E+19	1.478206000E-02	2.242825818E+11	1.942482820E+12	5.134424083E+13	5.187502902E+15	3.528461657E+16	1.441584083E+17	2.385410000E+15	561.8014749687	3.138180000E+00
0.224	605.58	233.76	1.845560000E+19	1.498278058E+19	1.487896200E-02	2.248800519E+11	1.945950786E+12	5.156204283E+13	5.209245605E+15	3.530380183E+16	1.439973360E+17	2.396290000E+15	561.1441630976	3.128660000E+00
0.225	605.10	233.62	1.844250000E+19	1.497429420E+19	1.497624500E-02	2.254799217E+11	1.949433917E+12	5.178127499E+13	5.231300222E+15	3.532321642E+16	1.438352572E+17	2.407270000E+15	560.4843063688	3.119120000E+00
0.226	604.63	233.47	1.842930000E+19	1.496577355E+19	1.507391000E-02	2.260822042E+11	1.952932300E+12	5.200194867E+13	5.253670101E+15	3.534285960E+16	1.436721684E+17	2.418340000E+15	559.8219119311	3.109580000E+00
0.227	604.15	233.33	1.841610000E+19	1.495721866E+19	1.517196000E-02	2.266869124E+11	1.956446026E+12	5.222407534E+13	5.276358605E+15	3.536273056E+16	1.435080665E+17	2.429500000E+15	559.1569873312	3.100040000E+00
0.228	603.67	233.19	1.840280000E+19	1.494862957E+19	1.527039600E-02	2.272940594E+11	1.959975186E+12	5.244766657E+13	5.299369114E+15	3.538282843E+16	1.433429483E+17	2.440760000E+15	558.4895405123	3.090480000E+00
0.229	603.18	233.04	1.838950000E+19	1.494000630E+19	1.536922000E-02	2.279036583E+11	1.963519871E+12	5.267273405E+13	5.322705024E+15	3.540315226E+16	1.431768107E+17	2.452110000E+15	557.8195786929	3.080910000E+00
0.230	602.70	232.90	1.837610000E+19	1.493134889E+19	1.546843500E-02	2.285157225E+11	1.967080173E+12	5.289928958E+13	5.346369750E+15	3.542370104E+16	1.430096505E+17	2.463550000E+15	557.1471098615	3.071340000E+00
0.231	602.21	232.75	1.836260000E+19	1.492265736E+19	1.556804300E-02	2.291302652E+11	1.970656185E+12	5.312734505E+13	5.370366722E+15	3.544447369E+16	1.428414647E+17	2.475090000E+15	556.4721412827	3.061760000E+00
0.232	601.72	232.60	1.834910000E+19	1.491393175E+19	1.566804500E-02	2.297473001E+11	1.974248001E+12	5.335691247E+13	5.394699386E+15	3.546546908E+16	1.426722502E+17	2.486720000E+15	555.7946809899	3.052170000E+00
0.233	601.23	232.45	1.833560000E+19	1.490517209E+19	1.576844400E-02	2.303668405E+11	1.977855715E+12	5.358800398E+13	5.419371203E+15	3.548668598E+16	1.425020041E+17	2.498460000E+15	555.1147366661	3.042570000E+00
0.234	600.74	232.30	1.832200000E+19	1.489637842E+19	1.586924100E-02	2.309889002E+11	1.981479421E+12	5.382063181E+13	5.444385652E+15	3.550812313E+16	1.423307235E+17	2.510290000E+15	554.4323163887	3.032970000E+00
0.235	600.24	232.16	1.830830000E+19	1.488755076E+19	1.597044000E-02	2.316134928E+11	1.985119215E+12	5.405480831E+13	5.469746225E+15	3.552977918E+16	1.421584054E+17	2.522210000E+15	553.7474275130	3.023360000E+00
0.236	599.75	232.00	1.829460000E+19	1.487868915E+19	1.607204200E-02	2.322406322E+11	1.988775194E+12	5.429054596E+13	5.495456431E+15	3.555165272E+16	1.419850469E+17	2.534240000E+15	553.0600781608	3.013750000E+00
0.237	599.25	231.85	1.828090000E+19	1.486979363E+19	1.617404900E-02	2.328703324E+11	1.992447454E+12	5.452785735E+13	5.521519791E+15	3.557374226E+16	1.418106453E+17	2.546370000E+15	552.3702764755	3.004130000E+00
0.238	598.75	231.70	1.826710000E+19	1.486086422E+19	1.627646300E-02	2.335026073E+11	1.996136093E+12	5.476675517E+13	5.547939844E+15	3.559604628E+16	1.416351978E+17	2.558590000E+15	551.6780298792	2.994500000E+00
0.239	598.25	231.55	1.825320000E+19	1.485190097E+19	1.637928700E-02	2.341374710E+11	1.999841210E+12	5.500725226E+13	5.574720141E+15	3.561856316E+16	1.414587017E+17	2.570920000E+15	550.9833469303	2.984870000E+00
0.240	597.74	231.40	1.823930000E+19	1.484290391E+19	1.648252300E-02	2.347749378E+11	2.003562905E+12	5.524936156E+13	5.601864247E+15	3.564129122E+16	1.412811543E+17	2.583360000E+15	550.2862354655	2.975230000E+00
0.241	597.23	231.24	1.822530000E+19	1.483387306E+19	1.658617200E-02	2.354150219E+11	2.007301276E+12	5.549309613E+13	5.629375741E+15	3.566422873E+16	1.411025529E+17	2.595890000E+15	549.5867029735	2.965590000E+00
0.242	596.73	231.09	1.821130000E+19	1.482480848E+19	1.669023800E-02	2.360577378E+11	2.011056426E+12	5.573846918E+13	5.657258216E+15	3.568737387E+16	1.409228951E+17	2.608530000E+15	548.8847584464	2.955950000E+00
0.243	596.22	230.94	1.819730000E+19	1.481571019E+19	1.679472200E-02	2.367031000E+11	2.014828454E+12	5.598549401E+13	5.685515276E+15	3.571072479E+16	1.407421783E+17	2.621270000E+15	548.1804094158	2.946300000E+00
0.244	595.70	230.78	1.818310000E+19	1.480657823E+19	1.689962700E-02	2.373511231E+11	2.018617465E+12	5.623418407E+13	5.714150540E+15	3.573427954E+16	1.405603999E+17	2.634120000E+15	547.4736641750	2.936650000E+00
0.245	595.19	230.62	1.816900000E+19	1.479741265E+19	1.700495500E-02	2.380018217E+11	2.022423561E+12	5.648455294E+13	5.743167638E+15	3.575803613E+16	1.403775577E+17	2.647070000E+15	546.7645314080	2.926990000E+00
0.246	594.67	230.47	1.815480000E+19	1.478821346E+19	1.711070800E-02	2.386552108E+11	2.026246845E+12	5.673661430E+13	5.772570213E+15	3.578199250E+16	1.401936491E+17	2.660140000E+15	546.0530183411	2.917330000E+00
0.247	594.16	230.31	1.814050000E+19	1.477898073E+19	1.721688900E-02	2.393113052E+11	2.030087423E+12	5.699038200E+13	5.802361917E+15	3.580614650E+16	1.400086720E+17	2.673310000E+15	545.3391344383	2.907670000E+00
0.248	593.64	230.15	1.812620000E+19	1.476971447E+19	1.732349900E-02	2.399701199E+11	2.033945400E+12	5.724586998E+13	5.832546416E+15	3.583049597E+16	1.398226240E+17	2.686590000E+15	544.6228869686	2.898000000E+00
0.249	593.12	229.99	1.811180000E+19	1.476041473E+19	1.743054100E-02	2.406316701E+11	2.037820883E+12	5.750309236E+13	5.863127386E+15	3.585503863E+16	1.396355030E+17	2.699970000E+15	543.9042846982	2.888340000E+00
0.250	592.59	229.83	1.809740000E+19	1.475108156E+19	1.753801800E-02	2.412959709E+11	2.041713979E+12	5.776206335E+13	5.894108514E+15	3.587977217E+16	1.394473068E+17	2.713470000E+15	543.1833364129	2.878670000E+00
0.251	592.07	229.67	1.808290000E+19	1.474171498E+19	1.764593200E-02	2.419630378E+11	2.045624794E+12	5.802279733E+13	5.925493495E+15	3.590469421E+16	1.392580332E+17	2.727080000E+15	542.4600498135	2.869000000E+00
0.252	591.54	229.51	1.806840000E+19	1.473231505E+19	1.775428500E-02	2.426328861E+11	2.049553440E+12	5.828530879E+13	5.957286036E+15	3.592980232E+16	1.390676803E+17	2.740810000E+15	541.7344340938	2.859330000E+00
0.253	591.01	229.35	1.805390000E+19	1.472288179E+19	1.786308000E-02	2.433055315E+11	2.053500025E+12	5.854961238E+13	5.989489853E+15	3.595509398E+16	1.388762461E+17	2.754640000E+15	541.0064969961	2.849660000E+00
0.254	590.48	229.19	1.803920000E+19	1.471341525E+19	1.797231800E-02	2.439809895E+11	2.057464659E+12	5.881572288E+13	6.022108670E+15	3.598056662E+16	1.386837287E+17	2.768590000E+15	540.2762473859	2.839980000E+00
0.255	589.95	229.03	1.802460000E+19	1.470391547E+19	1.808200300E-02	2.446592759E+11	2.061447454E+12	5.908365522E+13	6.055146221E+15	3.600621763E+16	1.384901263E+17	2.782660000E+15	539.5436937810	2.830310000E+00
0.256	589.41	228.86	1.800990000E+19	1.469438250E+19	1.819213700E-02	2.453404067E+11	2.065448523E+12	5.935342447E+13	6.088606245E+15	3.603204431E+16	1.382954369E+17	2.796840000E+15	538.8088450852	2.820640000E+00
0.257	588.88	228.70	1.799510000E+19	1.468481637E+19	1.830272200E-02	2.460243978E+11	2.069467978E+12	5.962504583E+13	6.122492493E+15	3.605804392E+16	1.380996590E+17	2.811140000E+15	538.0717094885	2.810960000E+00
0.258	588.34	228.53	1.798030000E+19	1.467521713E+19	1.841376100E-02	2.467112653E+11	2.073505934E+12	5.989853468E+13	6.156808720E+15	3.608421364E+16	1.379027908E+17	2.825550000E+15	537.3322959337	2.801290000E+00
0.259	587.80	228.37	1.796540000E+19	1.466558482E+19	1.852525700E-02	2.474010254E+11	2.077562505E+12	6.017390652E+13	6.191558688E+15	3.611055061E+16	1.377048307E+17	2.840080000E+15	536.5906130163	2.791620000E+00
0.260	587.25	228.20	1.795050000E+19	1.465591948E+19	1.863721100E-02	2.480936945E+11	2.081637807E+12	6.045117701E+13	6.226746167E+15	3.613705189E+16	1.375057772E+17	2.854740000E+15	535.8466693509	2.781950000E+00
0.261	586.71	228.03	1.793550000E+19	1.464622116E+19	1.874962600E-02	2.487892891E+11	2.085731958E+12	6.073036196E+13	6.262374930E+15	3.616371452E+16	1.373056289E+17	2.869510000E+15	535.1004739373	2.772280000E+00
0.262	586.16	227.87	1.792050000E+19	1.463648989E+19	1.886250500E-02	2.494878256E+11	2.089845074E+12	6.101147734E+13	6.298448760E+15	3.619053543E+16	1.371043843E+17	2.884400000E+15	534.3520350629	2.762610000E+00
0.263	585.62	227.70	1.790550000E+19	1.462672574E+19	1.897585100E-02	2.501893208E+11	2.093977274E+12	6.129453926E+13	6.334971439E+15	3.621751153E+16	1.369020421E+17	2.899420000E+15	533.6013624947	2.752940000E+00
0.264	585.07	227.53	1.789040000E+19	1.461692873E+19	1.908966500E-02	2.508937916E+11	2.098128678E+12	6.157956401E+13	6.371946757E+15	3.624463965E+16	1.366986010E+17	2.914560000E+15	532.8484641930	2.743280000E+00
0.265	584.51	227.36	1.787520000E+19	1.460709892E+19	1.920395200E-02	2.516012547E+11	2.102299407E+12	6.186656801E+13	6.409378508E+15	3.627191659E+16	1.364940599E+17	2.929820000E+15	532.0933495961	2.733620000E+00
0.266	583.96	227.19	1.786000000E+19	1.459723634E+19	1.931871200E-02	2.523117272E+11	2.106489581E+12	6.215556787E+13	6.447270488E+15	3.629933906E+16	1.362884176E+17	2.945210000E+15	531.3360270671	2.723960000E+00
0.267	583.41	227.02	1.784480000E+19	1.458734106E+19	1.943394900E-02	2.530252264E+11	2.110699324E+12	6.244658034E+13	6.485626496E+15	3.632690374E+16	1.360816730E+17	2.960720000E+15	530.5765064440	2.714300000E+00
0.268	582.85	226.85	1.782950000E+19	1.457741310E+19	1.954966600E-02	2.537417695E+11	2.114928757E+12	6.273962234E+13	6.524450332E+15	3.635460725E+16	1.358738253E+17	2.976360000E+15	529.8147957628	2.704650000E+00
0.269	582.29	226.67	1.781410000E+19	1.456745253E+19	1.966586500E-02	2.544613740E+11	2.119178007E+12	6.303471096E+13	6.563745801E+15	3.638244613E+16	1.356648734E+17	2.992130000E+15	529.0509048964	2.695000000E+00
0.270	581.73	226.50	1.779870000E+19	1.455745938E+19	1.978254900E-02	2.551840573E+11	2.123447198E+12	6.333186346E+13	6.603516706E+15	3.641041691E+16	1.354548165E+17	3.008030000E+15	528.2848422810	2.685350000E+00
0.271	581.17	226.33	1.778330000E+19	1.454743370E+19	1.989972000E-02	2.559098371E+11	2.127736457E+12	6.363109725E+13	6.643766853E+15	3.643851603E+16	1.352436539E+17	3.024060000E+15	527.5166170979	2.675710000E+00
0.272	580.60	226.15	1.776780000E+19	1.453737555E+19	2.001738100E-02	2.566387313E+11	2.132045910E+12	6.393242993E+13	6.684500045E+15	3.646673989E+16	1.350313850E+17	3.040220000E+15	526.7462389079	2.666070000E+00
0.273	580.03	225.98	1.775230000E+19	1.452728496E+19	2.013553600E-02	2.573707578E+11	2.136375687E+12	6.423587928E+13	6.725720088E+15	3.649508484E+16	1.348180090E+17	3.056500000E+15	525.9737162015	2.656440000E+00
0.274	579.47	225.80	1.773670000E+19	1.451716200E+19	2.025418600E-02	2.581059345E+11	2.140725917E+12	6.454146323E+13	6.767430783E+15	3.652354717E+16	1.346035256E+17	3.072930000E+15	525.1990589357	2.646810000E+00
0.275	578.90	225.63	1.772100000E+19	1.450700670E+19	2.037333500E-02	2.588442798E+11	2.145096730E+12	6.484919990E+13	6.809635932E+15	3.655212312E+16	1.343879341E+17	3.089480000E+15	524.4222756362	2.637180000E+00
0.276	578.32	225.45	1.770540000E+19	1.449681912E+19	2.049298500E-02	2.595858118E+11	2.149488257E+12	6.515910760E+13	6.852339335E+15	3.658080888E+16	1.341712344E+17	3.106170000E+15	523.6433759314	2.627560000E+00
0.277	577.75	225.27	1.768960000E+19	1.448659931E+19	2.061313900E-02	2.603305491E+11	2.153900633E+12	6.547120480E+13	6.895544786E+15	3.660960060E+16	1.339534260E+17	3.123000000E+15	522.8623691044	2.617950000E+00
0.278	577.17	225.10	1.767390000E+19	1.447634731E+19	2.073380000E-02	2.610785103E+11	2.158333989E+12	6.578551017E+13	6.939256077E+15	3.663849437E+16	1.337345088E+17	3.139960000E+15	522.0792640942	2.608340000E+00
0.279	576.60	224.92	1.765810000E+19	1.446606318E+19	2.085497100E-02	2.618297140E+11	2.162788461E+12	6.610204255E+13	6.983476997E+15	3.666748621E+16	1.335144826E+17	3.157060000E+15	521.2940705785	2.598740000E+00
0.280	576.02	224.74	1.764220000E+19	1.445574696E+19	2.097665500E-02	2.625841791E+11	2.167264185E+12	6.642082099E+13	7.028211327E+15	3.669657214E+16	1.332933475E+17	3.174300000E+15	520.5067975297	2.589150000E+00
0.281	575.44	224.56	1.762630000E+19	1.444539872E+19	2.109885500E-02	2.633419247E+11	2.171761297E+12	6.674186471E+13	7.073462846E+15	3.672574809E+16	1.330711034E+17	3.191680000E+15	519.7174550175	2.579560000E+00
0.282	574.85	224.38	1.761030000E+19	1.443501849E+19	2.122157300E-02	2.641029698E+11	2.176279937E+12	6.706519312E+13	7.119235322E+15	3.675500995E+16	1.328477506E+17	3.209200000E+15	518.9260516872	2.569980000E+00
0.283	574.27	224.20	1.759430000E+19	1.442460634E+19	2.134481200E-02	2.648673337E+11	2.180820242E+12	6.739082583E+13	7.165532521E+15	3.678435358E+16	1.326232891E+17	3.226860000E+15	518.1325976396	2.560400000E+00
0.284	573.68	224.01	1.757830000E+19	1.441416231E+19	2.146857700E-02	2.656350358E+11	2.185382354E+12	6.771878265E+13	7.212358198E+15	3.681377478E+16	1.323977193E+17	3.244670000E+15	517.3371019123	2.550830000E+00
0.285	573.09	223.83	1.756220000E+19	1.440368646E+19	2.159286800E-02	2.664060957E+11	2.189966413E+12	6.804908359E+13	7.259716100E+15	3.684326930E+16	1.321710417E+17	3.262620000E+15	516.5395742774	2.541270000E+00
0.286	572.50	223.65	1.754600000E+19	1.439317883E+19	2.171769000E-02	2.671805331E+11	2.194572563E+12	6.838174885E+13	7.307609966E+15	3.687283287E+16	1.319432566E+17	3.280710000E+15	515.7400238049	2.531720000E+00
0.287	571.91	223.46	1.752990000E+19	1.438263949E+19	2.184304600E-02	2.679583678E+11	2.199200947E+12	6.871679883E+13	7.356043524E+15	3.690246114E+16	1.317143646E+17	3.298950000E+15	514.9384606560	2.522180000E+00
0.288	571.32	223.28	1.751360000E+19	1.437206848E+19	2.196893800E-02	2.687396199E+11	2.203851711E+12	6.905425414E+13	7.405020491E+15	3.693214974E+16	1.314843665E+17	3.317340000E+15	514.1348939316	2.512640000E+00
0.289	570.72	223.09	1.749740000E+19	1.436146586E+19	2.209536900E-02	2.695243094E+11	2.208525000E+12	6.939413561E+13	7.454544574E+15	3.696189424E+16	1.312532629E+17	3.335870000E+15	513.3293334647	2.503110000E+00
0.290	570.12	222.91	1.748100000E+19	1.435083169E+19	2.222234300E-02	2.703124567E+11	2.213220962E+12	6.973646426E+13	7.504619466E+15	3.699169020E+16	1.310210546E+17	3.354560000E+15	512.5217891021	2.493590000E+00
0.291	569.53	222.72	1.746470000E+19	1.434016600E+19	2.234986400E-02	2.711040822E+11	2.217939746E+12	7.008126134E+13	7.555248849E+15	3.702153310E+16	1.307877427E+17	3.373390000E+15	511.7122696343	2.484080000E+00
0.292	568.92	222.53	1.744830000E+19	1.432946887E+19	2.247793300E-02	2.718992065E+11	2.222681501E+12	7.042854829E+13	7.606436391E+15	3.705141840E+16	1.305533282E+17	3.392380000E+15	510.9007856524	2.474580000E+00
0.293	568.32	222.35	1.743180000E+19	1.431874035E+19	2.260655400E-02	2.726978503E+11	2.227446380E+12	7.077834679E+13	7.658185743E+15	3.708134151E+16	1.303178120E+17	3.411520000E+15	510.0873466901	2.465090000E+00
0.294	567.72	222.16	1.741530000E+19	1.430798048E+19	2.273573000E-02	2.735000345E+11	2.232234533E+12	7.113067873E+13	7.710500542E+15	3.711129781E+16	1.300811956E+17	3.430810000E+15	509.2719619400	2.455610000E+00
0.295	567.11	221.97	1.739880000E+19	1.429718933E+19	2.286546500E-02	2.743057803E+11	2.237046115E+12	7.148556622E+13	7.763384412E+15	3.714128264E+16	1.298434801E+17	3.450260000E+15	508.4546416780	2.446140000E+00
0.296	566.50	221.78	1.738220000E+19	1.428636696E+19	2.299576200E-02	2.751151088E+11	2.241881281E+12	7.184303159E+13	7.816840954E+15	3.717129128E+16	1.296046669E+17	3.469860000E+15	507.6353958370	2.436670000E+00
0.297	565.89	221.59	1.736560000E+19	1.427551340E+19	2.312662400E-02	2.759280413E+11	2.246740187E+12	7.220309741E+13	7.870873756E+15	3.720131900E+16	1.293647577E+17	3.489620000E+15	506.8142332983	2.427220000E+00
0.298	565.28	221.40	1.734890000E+19	1.426462873E+19	2.325805400E-02	2.767445995E+11	2.251622991E+12	7.256578647E+13	7.925486384E+15	3.723136103E+16	1.291237538E+17	3.509540000E+15	505.9911647337	2.417780000E+00
0.299	564.67	221.21	1.733220000E+19	1.425371300E+19	2.339005500E-02	2.775648050E+11	2.256529852E+12	7.293112180E+13	7.980682387E+15	3.726141253E+16	1.288816572E+17	3.529620000E+15	505.1661997629	2.408350000E+00
0.300	564.05	221.01	1.731540000E+19	1.424276626E+19	2.352263200E-02	2.783886797E+11	2.261460929E+12	7.329912665E+13	8.036465292E+15	3.729146868E+16	1.286384694E+17	3.549860000E+15	504.3393480197	2.398930000E+00
0.301	563.43	220.82	1.729860000E+19	1.423178857E+19	2.365578600E-02	2.792162456E+11	2.266416385E+12	7.366982453E+13	8.092838605E+15	3.732152457E+16	1.283941925E+17	3.570260000E+15	503.5106195060	2.389520000E+00
0.302	562.82	220.63	1.728180000E+19	1.422077999E+19	2.378952300E-02	2.800475249E+11	2.271396382E+12	7.404323916E+13	8.149805809E+15	3.735157530E+16	1.281488284E+17	3.590820000E+15	502.6800242369	2.380120000E+00
0.303	562.19	220.43	1.726490000E+19	1.420974058E+19	2.392384400E-02	2.808825399E+11	2.276401084E+12	7.441939453E+13	8.207370366E+15	3.738161591E+16	1.279023792E+17	3.611550000E+15	501.8475722401	2.370740000E+00
0.304	561.57	220.24	1.724800000E+19	1.419867038E+19	2.405875400E-02	2.817213132E+11	2.281430659E+12	7.479831486E+13	8.265535710E+15	3.741164140E+16	1.276548471E+17	3.632450000E+15	501.0132728503	2.361360000E+00
0.305	560.95	220.04	1.723100000E+19	1.418756947E+19	2.419425500E-02	2.825638675E+11	2.286485272E+12	7.518002463E+13	8.324305253E+15	3.744164678E+16	1.274062344E+17	3.653500000E+15	500.1771368278	2.352000000E+00
0.306	560.32	219.85	1.721400000E+19	1.417643788E+19	2.433035200E-02	2.834102257E+11	2.291565092E+12	7.556454857E+13	8.383682380E+15	3.747162697E+16	1.271565435E+17	3.674730000E+15	499.3391731813	2.342650000E+00
0.307	559.69	219.65	1.719690000E+19	1.416527569E+19	2.446704800E-02	2.842604107E+11	2.296670289E+12	7.595191165E+13	8.443670450E+15	3.750157692E+16	1.269057768E+17	3.696130000E+15	498.4993926955	2.333310000E+00
0.308	559.07	219.45	1.717980000E+19	1.415408296E+19	2.460434600E-02	2.851144459E+11	2.301801036E+12	7.634213911E+13	8.504272793E+15	3.753149149E+16	1.266539371E+17	3.717690000E+15	497.6578054617	2.323990000E+00
0.309	558.43	219.25	1.716270000E+19	1.414285973E+19	2.474225000E-02	2.859723546E+11	2.306957504E+12	7.673525644E+13	8.565492709E+15	3.756136557E+16	1.264010269E+17	3.739430000E+15	496.8144208808	2.314680000E+00
0.310	557.80	219.05	1.714550000E+19	1.413160606E+19	2.488076300E-02	2.868341604E+11	2.312139868E+12	7.713128942E+13	8.627333470E+15	3.759119397E+16	1.261470490E+17	3.761340000E+15	495.9692490702	2.305380000E+00
0.311	557.17	218.86	1.712830000E+19	1.412032202E+19	2.501989000E-02	2.876998870E+11	2.317348304E+12	7.753026407E+13	8.689798317E+15	3.762097151E+16	1.258920065E+17	3.783420000E+15	495.1223005097	2.296090000E+00
0.312	556.53	218.66	1.711100000E+19	1.410900766E+19	2.515963300E-02	2.885695584E+11	2.322582989E+12	7.793220668E+13	8.752890457E+15	3.765069296E+16	1.256359023E+17	3.805680000E+15	494.2735849894	2.286820000E+00
0.313	555.89	218.45	1.709370000E+19	1.409766304E+19	2.529999700E-02	2.894431987E+11	2.327844104E+12	7.833714382E+13	8.816613066E+15	3.768035307E+16	1.253787395E+17	3.828120000E+15	493.4231126621	2.277560000E+00
0.314	555.25	218.25	1.707640000E+19	1.408628822E+19	2.544098500E-02	2.903208323E+11	2.333131827E+12	7.874510235E+13	8.880969286E+15	3.770994657E+16	1.251205213E+17	3.850730000E+15	492.5708936924	2.268320000E+00
0.315	554.61	218.05	1.705900000E+19	1.407488325E+19	2.558260000E-02	2.912024836E+11	2.338446341E+12	7.915610938E+13	8.945962222E+15	3.773946816E+16	1.248612512E+17	3.873520000E+15	491.7169379071	2.259090000E+00
0.316	553.97	217.85	1.704160000E+19	1.406344820E+19	2.572484700E-02	2.920881773E+11	2.343787831E+12	7.957019233E+13	9.011594945E+15	3.776891252E+16	1.246009325E+17	3.896490000E+15	490.8612558435	2.249870000E+00
0.317	553.32	217.65	1.702410000E+19	1.405198312E+19	2.586773000E-02	2.929779383E+11	2.349156480E+12	7.998737889E+13	9.077870488E+15	3.779827431E+16	1.243395687E+17	3.919640000E+15	490.0038573518	2.240670000E+00
0.318	552.68	217.44	1.700660000E+19	1.404048807E+19	2.601125100E-02	2.938717916E+11	2.354552476E+12	8.040769704E+13	9.144791845E+15	3.782754815E+16	1.240771637E+17	3.942970000E+15	489.1447526428	2.231480000E+00
0.319	552.03	217.24	1.698900000E+19	1.402896311E+19	2.615541500E-02	2.947697626E+11	2.359976008E+12	8.083117505E+13	9.212361972E+15	3.785672865E+16	1.238137210E+17	3.966490000E+15	488.2839519385	2.222310000E+00
0.320	551.38	217.03	1.697140000E+19	1.401740830E+19	2.630022600E-02	2.956718766E+11	2.365427266E+12	8.125784150E+13	9.280583783E+15	3.788581041E+16	1.235492446E+17	3.990190000E+15	487.4214654719	2.213150000E+00
0.321	550.72	216.83	1.695380000E+19	1.400582370E+19	2.644568800E-02	2.965781594E+11	2.370906441E+12	8.168772525E+13	9.349460151E+15	3.791478800E+16	1.232837384E+17	4.014080000E+15	486.5573034866	2.204000000E+00
0.322	550.07	216.62	1.693610000E+19	1.399420935E+19	2.659180400E-02	2.974886368E+11	2.376413727E+12	8.212085549E+13	9.418993908E+15	3.794365596E+16	1.230172066E+17	4.038150000E+15	485.6914755432	2.194880000E+00
0.323	549.42	216.41	1.691840000E+19	1.398256533E+19	2.673857800E-02	2.984033348E+11	2.381949320E+12	8.255726169E+13	9.489187839E+15	3.797240883E+16	1.227496534E+17	4.062420000E+15	484.8239926021	2.185760000E+00
0.324	548.76	216.21	1.690070000E+19	1.397089169E+19	2.688601600E-02	2.993222798E+11	2.387513416E+12	8.299697364E+13	9.560044687E+15	3.800104111E+16	1.224810830E+17	4.086870000E+15	483.9548645926	2.176670000E+00
0.325	548.10	216.00	1.688290000E+19	1.395918849E+19	2.703411900E-02	3.002454982E+11	2.393106214E+12	8.344002145E+13	9.631567146E+15	3.802954732E+16	1.222114998E+17	4.111520000E+15	483.0841018017	2.167590000E+00
0.326	547.44	215.79	1.686500000E+19	1.394745579E+19	2.718289300E-02	3.011730166E+11	2.398727915E+12	8.388643553E+13	9.703757866E+15	3.805792192E+16	1.219409085E+17	4.136350000E+15	482.2117145268	2.158520000E+00
0.327	546.78	215.58	1.684720000E+19	1.393569364E+19	2.733234100E-02	3.021048620E+11	2.404378720E+12	8.433624664E+13	9.776619447E+15	3.808615938E+16	1.216693136E+17	4.161390000E+15	481.3377127299	2.149470000E+00
0.328	546.11	215.37	1.682930000E+19	1.392390210E+19	2.748246900E-02	3.030410614E+11	2.410058834E+12	8.478948584E+13	9.850154437E+15	3.811425416E+16	1.213967199E+17	4.186610000E+15	480.4621067296	2.140440000E+00
0.329	545.45	215.16	1.681130000E+19	1.391208123E+19	2.763327800E-02	3.039816423E+11	2.415768462E+12	8.524618452E+13	9.924365338E+15	3.814220069E+16	1.211231323E+17	4.212040000E+15	479.5849068544	2.131430000E+00
0.330	544.78	214.95	1.679330000E+19	1.390023110E+19	2.778477500E-02	3.049266320E+11	2.421507813E+12	8.570637443E+13	9.999254595E+15	3.816999339E+16	1.208485556E+17	4.237660000E+15	478.7061237869	2.122430000E+00
0.331	544.11	214.74	1.677530000E+19	1.388835174E+19	2.793696300E-02	3.058760583E+11	2.427277096E+12	8.617008763E+13	1.007482460E+16	3.819762668E+16	1.205729951E+17	4.263480000E+15	477.8257668423	2.113440000E+00
0.332	543.44	214.53	1.675730000E+19	1.387644323E+19	2.808984600E-02	3.068299493E+11	2.433076522E+12	8.663735652E+13	1.015107771E+16	3.822509495E+16	1.202964559E+17	4.289500000E+15	476.9438470675	2.104480000E+00
0.333	542.77	214.31	1.673920000E+19	1.386450563E+19	2.824342900E-02	3.077883331E+11	2.438906304E+12	8.710821386E+13	1.022801618E+16	3.825239259E+16	1.200189432E+17	4.315720000E+15	476.0603748297	2.095530000E+00
0.334	542.09	214.10	1.672100000E+19	1.385253898E+19	2.839771500E-02	3.087512381E+11	2.444766659E+12	8.758269276E+13	1.030564226E+16	3.827951399E+16	1.197404625E+17	4.342150000E+15	475.1753598196	2.086600000E+00
0.335	541.42	213.88	1.670280000E+19	1.384054334E+19	2.855271000E-02	3.097186929E+11	2.450657802E+12	8.806082667E+13	1.038395811E+16	3.830645351E+16	1.194610194E+17	4.368780000E+15	474.2888124249	2.077690000E+00
0.336	540.74	213.67	1.668460000E+19	1.382851877E+19	2.870841700E-02	3.106907265E+11	2.456579954E+12	8.854264941E+13	1.046296585E+16	3.833320551E+16	1.191806194E+17	4.395620000E+15	473.4007430429	2.068790000E+00
0.337	540.06	213.45	1.666640000E+19	1.381646534E+19	2.886484100E-02	3.116673678E+11	2.462533334E+12	8.902819515E+13	1.054266752E+16	3.835976434E+16	1.188992683E+17	4.422660000E+15	472.5111624216	2.059910000E+00
0.338	539.38	213.24	1.664810000E+19	1.380438309E+19	2.902198600E-02	3.126486463E+11	2.468518167E+12	8.951749844E+13	1.062306510E+16	3.838612436E+16	1.186169720E+17	4.449910000E+15	471.6200802917	2.051050000E+00
